ages,male_AF_left-volume_0.025_centile,male_AF_left-volume_0.5_centile,male_AF_left-volume_0.975_centile,female_AF_left-volume_0.025_centile,female_AF_left-volume_0.5_centile,female_AF_left-volume_0.975_centile
0.1,9694.553005137423,15650.579502149956,19740.214611637617,9600.078732910242,15150.221895313893,18984.59290853987
0.18998998998999,10740.698956040222,17344.043978878835,21877.84756473128,10636.22093237778,16789.58621510884,21040.395291019166
0.27997997997998003,11583.503859781928,18709.967664535463,23602.611372566702,11471.033797496191,18111.887868272748,22699.131570314563
0.36996996996997,12297.05349705836,19867.78712036244,25065.093155447175,12177.874268752441,19232.743500414083,24105.62485228256
0.45995995995996,12919.194122654524,20878.499570620028,26342.19316727511,12794.215603230816,20211.19933056761,25333.831904399085
0.54994994994995,13472.339515435317,21778.220192621215,27479.43907552646,13342.250288687092,21082.215304052574,26427.537757822527
0.63993993993994,13971.060435303278,22590.420795715723,28506.417870259025,13836.404979523699,21868.512374484497,27415.19692586355
0.72992992992993,14425.460837387116,23331.373626195294,29443.63979741134,14286.68353314518,22585.84220831653,28316.534605810277
0.81991991991992,14842.888174516744,24012.908735617566,30306.014927683962,14700.36049200967,23245.656365882103,29145.890175226774
0.9099099099099099,15228.883934329506,24643.946269249824,31104.78504576493,15082.922265024525,23856.589581988002,29914.075134499664
0.9998998998998999,15587.750135316996,25231.40956554948,31848.6748362633,15438.628043430048,24425.343660399987,30629.480229104644
1.08988988988989,15922.905920515832,25780.799860843967,32544.61641613318,15770.862879169,24957.243796315834,31298.772249359543
1.1798798798798802,16237.122134333404,26296.574301801065,33198.22588081029,16082.369947426372,25456.604497538636,31927.35233602747
1.26986986986987,16532.68133767299,26782.40377460801,33814.128329119325,16375.408981842644,25926.979166339384,32519.668564434734
1.3598598598598601,16811.490335702405,27241.354197877095,34396.18639744972,16651.86769036966,26371.335593067437,33079.435731202786
1.44984984984985,17075.161388705525,27676.017346008153,34947.66516764727,16913.342163033332,26792.18259453197,33609.793950093925
1.53983983983984,17325.072145506707,28088.60738546674,35471.353850737505,17161.19621221924,27191.663462029766,34113.42567815888
1.6298298298298302,17562.410743135006,28481.033509638117,35969.65733997965,17396.606025655867,27571.626272495487,34592.64376450941
1.71981981981982,17788.21032946979,28854.95553260992,36444.66628211404,17620.594346872585,27933.677703695234,35049.45883952898
1.80980980980981,18003.37589286683,29211.827089523205,36898.211525970335,17834.05703868611,28279.22485244327,35485.631679420694
1.8997997997998,18208.705396841353,29552.92966320824,37331.90700737097,18037.784008073664,28609.508172568407,35902.714449663334
1.98978978978979,18404.906631907656,29879.399712406557,37747.18393862772,18232.475890592304,28925.627735153255,36302.08358588865
2.07977977977978,18592.61080049691,30192.250538403794,38145.31836600728,18418.757500228796,29228.564395508314,36684.966296573075
2.16976976976977,18772.3835776881,30492.390086658856,38527.453603546724,18597.188780076038,29519.197025192047,37052.46213819272
2.2597597597597603,18944.734198729016,30780.635571017723,38894.61866206277,18768.273799364302,29798.3166682704,37405.56073885909
2.34974974974975,19110.122987530198,31057.72558768522,39247.74351433909,18932.4682069331,30066.63826764669,37745.1564792305
2.43973973973974,19268.967641284027,31324.33022656999,39587.671836336245,19090.18545317621,30324.810452837675,38072.06074605269
2.52972972972973,19421.648513692733,31581.05957054259,39915.17171668633,19241.802020542556,30573.423767241955,38387.01223174888
2.61971971971972,19568.513085299892,31828.470886170504,40230.94471709592,19387.661849220738,30813.017628754063,38690.68564803917
